yearID,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,bbrefID
1906,40,DET,AL,41,152,-8,0,0,-2,1,-9,-1.0,5,-3,-0.4,.475,.494,-0.2,-0.1,-1,,64/5H9,,lowebo01
1907,41,DET,AL,17,41,0,0,0,0,0,0,0.0,1,2,0.2,.502,.500,0.2,0.0,2,,5/7H69,,lowebo01
1897,24,BSN,NL,114.0,515.0,23.0,-2.0,0.0,0.0,-7.0,15.0,1.2,17.0,32.0,3.0,0.511,0.508,3.0,-0.6,32.0,,*O,,stahlch01
1898,25,BSN,NL,125.0,529.0,12.0,0.0,0.0,8.0,-8.0,13.0,1.2,18.0,31.0,3.1,0.51,0.508,2.4,0.0,23.0,,*O,,stahlch01
1899,26,BSN,NL,148.0,661.0,37.0,-2.0,0.0,12.0,-9.0,38.0,3.4,22.0,60.0,5.6,0.523,0.521,4.6,0.3,48.0,,*O/1,,stahlch01
1900,27,BSN,NL,136.0,597.0,-4.0,0.0,0.0,12.0,-8.0,0.0,-0.1,20.0,21.0,2.0,0.5,0.5,1.0,0.4,8.0,,*O,,stahlch01
1901,28,BOS,AL,131.0,595.0,22.0,0.0,0.0,8.0,-4.0,25.0,2.2,20.0,45.0,4.2,0.517,0.514,3.5,0.3,37.0,"$3,500",*8,,stahlch01
1902,29,BOS,AL,127.0,568.0,14.0,-1.0,0.0,-1.0,-4.0,8.0,0.7,20.0,27.0,2.6,0.506,0.505,2.9,-0.5,28.0,,*8/H,,stahlch01
1903,30,BOS,AL,77.0,331.0,4.0,-1.0,0.0,-2.0,-2.0,-1.0,-0.2,11.0,11.0,1.1,0.499,0.499,1.4,-0.5,13.0,,8/H,,stahlch01
1904,31,BOS,AL,157.0,684.0,28.0,-1.0,0.0,-6.0,-4.0,17.0,1.9,23.0,41.0,4.5,0.513,0.513,5.4,-1.3,46.0,,*8,,stahlch01
1905,32,BOS,AL,134.0,568.0,3.0,-1.0,0.0,-4.0,-4.0,-5.0,-0.7,20.0,15.0,1.5,0.495,0.496,2.0,-0.9,19.0,,*8,,stahlch01
1906,33,BOS,AL,155.0,668.0,16.0,-1.0,0.0,2.0,-4.0,13.0,1.6,23.0,36.0,4.1,0.51,0.51,3.8,-0.2,34.0,,*8/7,,stahlch01
